2024-10-17 at 00:53 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:53 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 00:53 | INFO | Запись найдена по фильтрам: {'id': 805550691}
2024-10-17 at 00:54 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:54 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:54 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:54 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:54 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 00:54 | ERROR | Ошибка при поиске записи по фильтрам {'id': 805550691}: Multiple rows were found when one or none was required
2024-10-17 at 01:12 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:12 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:12 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:12 | ERROR | Ошибка при поиске записи по фильтрам {'id': 805550691}: Multiple rows were found when one or none was required
2024-10-17 at 01:12 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:12 | INFO | Запись не найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:12 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:12 | INFO | Запись не найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:13 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:13 | INFO | Запись не найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:13 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:13 | INFO | Запись не найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:14 | INFO | Бот успешно запущен.
2024-10-17 at 01:14 | INFO | Бот остановлен.
2024-10-17 at 01:16 | INFO | Бот успешно запущен.
2024-10-17 at 01:16 | INFO | Поиск User с ID: 805550691
2024-10-17 at 01:16 | ERROR | Ошибка при поиске записи с ID 805550691: Entity namespace for "users" has no property "id"
2024-10-17 at 01:17 | INFO | Поиск User с ID: 805550691
2024-10-17 at 01:17 | ERROR | Ошибка при поиске записи с ID 805550691: Entity namespace for "users" has no property "id"
2024-10-17 at 01:17 | INFO | Бот остановлен.
2024-10-17 at 01:17 | INFO | Бот успешно запущен.
2024-10-17 at 01:17 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:17 | INFO | Запись не найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:17 | INFO | Добавление записи User с параметрами: {'tg_id': 805550691, 'username': 'bomjkee', 'first_name': '匚ㄥㄖㄩᗪ', 'last_name': None}
2024-10-17 at 01:17 | INFO | Запись User успешно добавлена.
2024-10-17 at 01:17 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:17 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:18 | INFO | Бот остановлен.
2024-10-17 at 01:18 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:18 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:18 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
